DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2/29/2020 0:00,1,11,0
3/1/2020 0:00,1,4,0
3/2/2020 0:00,0,22,0
3/3/2020 0:00,2,20,0
3/4/2020 0:00,5,21,0
3/5/2020 0:00,3,20,0
3/6/2020 0:00,8,19,0
3/7/2020 0:00,7,15,0
3/8/2020 0:00,21,16,0
3/9/2020 0:00,58,49,0
3/10/2020 0:00,70,62,0
3/11/2020 0:00,154,88,1
3/12/2020 0:00,357,88,0
3/13/2020 0:00,620,148,0
3/14/2020 0:00,643,155,2
3/15/2020 0:00,1033,190,5
3/16/2020 0:00,2121,307,9
3/17/2020 0:00,2455,353,8
3/18/2020 0:00,2980,463,20
3/19/2020 0:00,3712,550,24
3/20/2020 0:00,4012,661,46
3/21/2020 0:00,2638,692,44
3/22/2020 0:00,2581,724,50
3/23/2020 0:00,3565,1029,82
3/24/2020 0:00,4502,1142,94
3/25/2020 0:00,4842,1292,120
3/26/2020 0:00,5025,1424,186
3/27/2020 0:00,5101,1373,212
3/28/2020 0:00,3460,1343,265
3/29/2020 0:00,3528,1387,285
3/30/2020 0:00,6116,1680,320
3/31/2020 0:00,5440,1651,372
4/1/2020 0:00,5441,1549,431
4/2/2020 0:00,5754,1597,486
4/3/2020 0:00,5666,1590,484
4/4/2020 0:00,3863,1316,488
4/5/2020 0:00,3783,1314,568
4/6/2020 0:00,6372,1694,564
4/7/2020 0:00,6053,1568,590
4/8/2020 0:00,5566,1521,547
4/9/2020 0:00,5045,1402,537
4/10/2020 0:00,4502,1317,517
4/11/2020 0:00,3711,1074,524
4/12/2020 0:00,2871,975,554
4/13/2020 0:00,3301,1198,549
4/14/2020 0:00,4127,1055,506
4/15/2020 0:00,3867,971,438
4/16/2020 0:00,3518,858,398
4/17/2020 0:00,3576,881,367
4/18/2020 0:00,2163,639,360
4/19/2020 0:00,2346,582,373
4/20/2020 0:00,3778,705,349
4/21/2020 0:00,3056,639,305
4/22/2020 0:00,3449,584,297
4/23/2020 0:00,2842,519,309
4/24/2020 0:00,2536,538,299
4/25/2020 0:00,1594,395,240
4/26/2020 0:00,1005,371,231
4/27/2020 0:00,2283,435,256
4/28/2020 0:00,2722,433,217
4/29/2020 0:00,2340,403,230
4/30/2020 0:00,2015,330,208
5/1/2020 0:00,1879,340,205
5/2/2020 0:00,1055,252,186
5/3/2020 0:00,784,247,167
5/4/2020 0:00,1547,293,150
5/5/2020 0:00,1508,263,142
5/6/2020 0:00,1401,244,139
5/7/2020 0:00,1230,233,132
5/8/2020 0:00,1083,245,122
5/9/2020 0:00,661,164,98
5/10/2020 0:00,460,140,91
5/11/2020 0:00,1231,230,97
5/12/2020 0:00,1284,197,87
5/13/2020 0:00,1326,205,73
5/14/2020 0:00,1110,205,64
5/15/2020 0:00,871,216,85
5/16/2020 0:00,489,150,76
5/17/2020 0:00,360,118,72
5/18/2020 0:00,899,163,51
5/19/2020 0:00,1006,199,51
5/20/2020 0:00,1039,152,75
5/21/2020 0:00,1048,166,42
5/22/2020 0:00,1021,197,59
5/23/2020 0:00,458,122,55
5/24/2020 0:00,474,109,45
5/25/2020 0:00,452,134,43
5/26/2020 0:00,1035,138,35
5/27/2020 0:00,729,159,42
5/28/2020 0:00,606,131,33
5/29/2020 0:00,606,154,43
5/30/2020 0:00,317,93,49
5/31/2020 0:00,207,85,35
6/1/2020 0:00,578,116,29
6/2/2020 0:00,433,110,31
6/3/2020 0:00,349,94,25
6/4/2020 0:00,281,66,17
6/5/2020 0:00,163,25,8
6/6/2020 0:00,59,8,6
6/7/2020 0:00,8,0,0
